Name,Pct,Count
Mo,10125.277593984962,2
Ivano,7087.694315789473,1
Laphonso,7087.694315789473,1
Mikki,7087.694315789473,1
Kornel,7087.694315789473,1
Nazr,7087.694315789473,1
Jahidi,7087.694315789473,1
Rafer,7087.694315789473,1
Dermarr,7087.694315789473,1
Ansu,7087.694315789473,1
Udonis,7087.694315789473,1
Kasib,7087.694315789473,1
Ish,7087.694315789473,1
Gani,7087.694315789473,1
Mychel,7087.694315789473,1
Briante,7087.694315789473,1
Jemerrio,7087.694315789473,1
Allonzo,7087.694315789473,1
Rawle,6443.3584688995215,2
God,5906.411929824561,1
Meyers,5906.411929824561,1
Olden,5062.638796992481,1
Kenrich,5062.638796992481,1
Jimmer,3937.6079532163744,1
Bison,3543.8471578947365,1
Mirsad,3543.8471578947365,1
Norvel,3543.8471578947365,1
Dontonio,3221.6792344497608,1
Lavor,2362.5647719298245,1
Shelvin,2362.5647719298245,1
Kevinn,1865.1827146814405,1
Adreian,1687.5462656641603,1
Myke,1687.5462656641603,1
Mardy,1610.8396172248804,1
Demarre,1610.8396172248804,1
Kemba,1313.9393052631578,1
Roko,1312.535984405458,1
Dahntay,1222.0162613430127,1
Bracey,1222.0162613430127,1
Eleazer,1222.0162613430127,1
Javale,1181.2823859649122,1
Kawhi,1107.4522368421053,1
Bam,908.6787584345478,1
Deyonta,843.7731328320801,1
Hamidou,843.7731328320801,1
Chucky,833.8463900928792,2
Bubba,824.1505018359853,1
Jerian,824.1505018359853,1
Corliss,805.4198086124402,1
Justise,805.4198086124402,1
Jarnell,787.5215906432749,1
Calbert,770.4015560640732,1
Kiwane,754.0100335946249,1
Jerryd,738.3014912280702,1
Jawun,738.3014912280702,1
Tang,698.9038857782755,1
Sundiata,644.3358468899521,1
Danuel,644.3358468899521,2
Naz,566.3531488203266,1
Rik,545.2072550607287,1
Shammond,528.9324116260801,1
Tremont,528.9324116260801,1
Roberta,513.6010373760488,1
Metta,505.3612712550607,1
Yogi,499.13340252038546,1
Rumeal,485.458514780101,1
Joakim,478.89826458036987,1
Jerrelle,478.89826458036987,1
Kosta,463.24799449604404,2
Ledell,460.2398906356801,1
Kj,448.5882478347768,1
Voshon,442.98089473684206,1
Elmore,421.88656641604007,1
Zhaire,416.9231950464396,1
Shawnelle,400.5912516046213,1
Arnett,393.76079532163743,1
Lasalle,381.05883418222976,1
Dorell,369.1507456140351,1
Sharone,365.3450678241997,1
Mickell,350.87595622720164,1
Shabazz,332.755601680257,2
Pervis,331.20066896212495,1
Sedale,328.1339961013645,1
Benoit,319.26550972024654,1
Prescott,317.83382582015577,6
Kaniel,316.41492481203005,1
Arinze,308.1606224256293,1
Alando,281.2577109440267,1
Rayjon,258.67497502881287,1
Andray,254.95303294206738,1
Acie,254.03922278815318,2
Yi,242.7292573900505,1
Markelle,227.16968960863696,1
Zabian,225.72274891049278,1
Matisse,225.72274891049278,1
Dragan,222.88346904998346,1
Othello,222.88346904998346,1
Lari,221.94920697012802,1
Dontell,220.11473030402092,1
Zylan,207.2425238534934,1
Jeryl,201.35495215311005,1
Jrue,192.6003890160183,1
Shawne,190.52941709111488,1
Priest,186.51827146814404,1
Tyronn,181.73575168690957,1
Orien,181.73575168690957,1
Devean,178.98217969165339,1
Lou,177.78497447632458,3
Khyri,176.31080387536005,1
Khris,172.03141543178333,1
Loy,167.16260178748757,1
Ja,161.08396172248803,1
Sun,159.63275486012327,1
Amal,144.64682277121375,1
Tierre,142.89706281833617,1
Dwyane,140.07301019346787,1
Jerami,138.97439834881322,1
Etan,138.43152960526317,1
Shelden,134.23663476874003,1
Raef,132.23310290652003,1
Wayman,129.33748751440643,1
Monta,123.91073978652925,1
Julyan,122.20162613430126,1
Stevin,120.95041494521286,1
Linton,120.13041213202497,1
Cheikh,118.12823859649123,1
Donyell,117.73578597656932,1
Cherokee,114.31765025466893,1
Sherron,112.86137445524639,1
Alize,110.05736515201046,1
Zan,108.70696803358089,1
Keita,108.70696803358089,1
Yuta,102.42332826285367,1
Tarence,102.42332826285367,1
Gaylon,101.54289850701252,1
Emeka,100.39227076189056,1
Tyus,98.30366596101905,2
Antonius,94.50259087719299,1
Lamond,94.00125087253943,1
Ennis,91.80951186255794,1
Blue,91.80951186255794,1
Archibald,90.86787584345478,1
Georges,90.63547718400862,1
Emanual,87.50239896036386,1
Carrick,86.43529653401797,1
Doron,85.3939074191503,1
Dewan,82.22383196971546,1
Maalik,80.90975246335016,1
Mickael,80.54198086124401,1
Sharrod,80.35934598400763,1
Antawn,79.63701478415139,1
Mateen,78.92755362794514,1
